,0
Date,75
CENTRAL SAN DIEGO_dtw_within,21
PENINSULA_dtw_within,16
CORONADO_dtw_within,0
NATIONAL CITY_dtw_within,29
SOUTHEASTERN SAN DIEGO_dtw_within,31
MID-CITY_dtw_within,11
KEARNY MESA_dtw_within,0
COASTAL_dtw_within,22
UNIVERSITY_dtw_within,20
DEL MAR-MIRA MESA_dtw_within,0
NORTH SAN DIEGO_dtw_within,0
POWAY_dtw_within,0
MIRAMAR_dtw_within,0
ELLIOTT-NAVAJO_dtw_within,0
SWEETWATER_dtw_within,0
CHULA VISTA_dtw_within,14
SOUTH BAY_dtw_within,13
JAMUL_dtw_within,6
SPRING VALLEY_dtw_within,15
LEMON GROVE_dtw_within,0
LA MESA_dtw_within,35
EL CAJON_dtw_within,9
SANTEE_dtw_within,7
LAKESIDE_dtw_within,5
HARBISON CREST_dtw_within,5
ALPINE_dtw_within,12
RAMONA_dtw_within,20
SAN DIEGUITO_dtw_within,0
CARLSBAD_dtw_within,0
OCEANSIDE_dtw_within,0
PENDLETON_dtw_within,8
ESCONDIDO_dtw_within,8
SAN MARCOS_dtw_within,7
VISTA_dtw_within,11
VALLEY CENTER_dtw_within,15
PAUMA_dtw_within,0
FALLBROOK_dtw_within,15
PALOMAR-JULIAN_dtw_within,0
LAGUNA-PINE VALLEY_dtw_within,0
MOUNTAIN EMPIRE_dtw_within,0
ANZA-BORREGO SPRINGS_dtw_within,0
